"filename", "language", "CMake", "C++", "YAML", "JSON", "JavaScript", "Dart", "Markdown", "HTML", "Gradle", "Properties", "Swift", "XML", "comment", "blank", "total"
"/Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/auth/firebase_auth/anonymous_auth.dart", "Dart", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/auth/firebase_auth/apple_auth.dart", "Dart", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 12, 9, 61
"/Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/auth/firebase_auth/auth_util.dart", "Dart", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 2, 18, 74
"/Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/auth/firebase_auth/email_auth.dart", "Dart", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/auth/firebase_auth/firebase_auth_manager.dart", "Dart", 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 0, 0, 25, 24, 306
"/Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/auth/firebase_auth/firebase_user_provider.dart", "Dart", 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 2, 10, 62
"/Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/auth/firebase_auth/google_auth.dart", "Dart", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 1, 5, 24
"/Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/auth/firebase_auth/jwt_token_auth.dart", "Dart", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/backend/backend.dart", "Dart", 0, 0, 0, 0, 0, 564, 0, 0, 0, 0, 0, 0, 9, 50, 623
"/Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/backend/firebase/firebase_config.dart", "Dart", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 1, 2, 20
"/Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/backend/firebase_analytics/analytics.dart", "Dart", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 3, 8, 40
"/Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/backend/schema/company_details_record.dart", "Dart", 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 5, 22, 110
"/Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/backend/schema/firestore.indexes.json", "JSON", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/backend/schema/full_job_record.dart", "Dart", 0, 0, 0, 0, 0, 183, 0, 0, 0, 0, 0, 0, 23, 40, 246
"/Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/backend/schema/index.dart", "Dart", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/backend/schema/job_info_1_record.dart", "Dart", 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 4, 21, 102
"/Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/backend/schema/job_info_2_record.dart", "Dart", 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 2, 19, 80
"/Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/backend/schema/job_info_3_record.dart", "Dart", 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 8, 25, 130
"/Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/backend/schema/job_info_4_record.dart", "Dart", 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 1, 18, 78
"/Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/backend/schema/progress_record.dart", "Dart", 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 2, 19, 86
"/Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/backend/schema/users_record.dart", "Dart", 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 6, 21, 110
"/Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/backend/schema/util/firestore_util.dart", "Dart", 0, 0, 0, 0, 0, 121, 0, 0, 0, 0, 0, 0, 15, 17, 153
"/Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/backend/schema/util/schema_util.dart", "Dart", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 3, 11, 69
"/Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/billing_details/billing_details_model.dart", "Dart", 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 8, 13, 71
"/Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/billing_details/billing_details_widget.dart", "Dart", 0, 0, 0, 0, 0, 885, 0, 0, 0, 0, 0, 0, 1, 36, 922
"/Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/firebaseModels/addCompensation.dart", "Dart", 0, 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 1, 14, 114
"/Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/firebaseModels/applicationPref.dart", "Dart", 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 1, 14, 106
"/Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/firebaseModels/basicInfoModel.dart", "Dart", 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 1, 13, 91
"/Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/firebaseModels/companyDetails.dart", "Dart", 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 1, 13, 86
"/Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/firebaseModels/email.dart", "Dart", 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 1, 23, 117
"/Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/firebaseModels/includeDetails.dart", "Dart", 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 1, 14, 72
"/Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/firebaseModels/jobDesc.dart", "Dart", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 1, 13, 57
"/Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/firebaseModels/pending.dart", "Dart", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 1, 14, 58
"/Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/firebaseModels/progress.dart", "Dart", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 1, 11, 48
"/Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/firebaseModels/readFullJob.dart", "Dart", 0, 0, 0, 0, 0, 304, 0, 0, 0, 0, 0, 0, 1, 16, 321
